,id,file_path,text,label
0,00081a88gw1e0k0fzv6nkj.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\rumor_images\00081a88gw1e0k0fzv6nkj.jpg,no text,1
1,00081a88jw1e3eymq2471j.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\rumor_images\00081a88jw1e3eymq2471j.jpg,no text,1
2,00081a88jw1e5bxst6kncj20gs0llgok.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\rumor_images\00081a88jw1e5bxst6kncj20gs0llgok.jpg,"saB FIBER > seu > Ex

BRILSZUARA RAS

2013-06-02 10:55:21 FOASS KY BSRl~

RR EMSRS LL TEM SRAIR RETRO SSNPS 58910,
PUBTE SRR AAAS RES S /LBRSME AKAN SS, SRE
SMAPS HBA.

HAF RURIRIE. SAA LTO, OSHA, BIE
RKRSSSARRL ISL, GOSERSREES. RSSMEHRE FLOSMR,
Mb ESMWEEMMEAL, BAM AHIMA RASS?

ATRHRA, SARLMASKAMAMEMEA RANREA RHR. TOA
RHBARE, BEMPESE (1G) ARBMMSKT RSS RR,
ART RAB EA MME. SARIN. SIRAAHRE. RSH
Re, HPUABSA, See INR. WEA, Hoke He AH
PEREHAS, ARISTA RAR LE, BD. RET IMS RIE. AatE R50",1
3,00081a88jw1e8aiei4m2ej20cg0fsgnk.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\rumor_images\00081a88jw1e8aiei4m2ej20cg0fsgnk.jpg,no text,1
4,00145ff0jw1dypvr870e2j.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\rumor_images\00145ff0jw1dypvr870e2j.jpg,no text,1
5,005A1CCejw1es6gd1gzmbj30m80go75c.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\rumor_images\005A1CCejw1es6gd1gzmbj30m80go75c.jpg,"SEEDER, HPREGEEBREE. EEO
BJORK. AGEE. Hae AD. FORA. OO 8, 3
HOE SRM ARR T O, Maa. BY",1
6,005A2Qxrjw1ev1yzustegj30ee0kqjt5.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\rumor_images\005A2Qxrjw1ev1yzustegj30ee0kqjt5.jpg,"—SPRA SAB AE T | Bet
Bib, AAA. ARAB
HaANAT, BTORLEH! 2A
We aA AB Az AAA 2 Po

RATSPEPRMBRIANMA, 1
QEAMRFER ART, HARE
» PAAR ARIA GET ATA? Hera
BI-TBA, AEA wie aS

ite
HES

‘ * ™
:
oes voi 5

* Mmm

=

Es} *

5 ‘as
Ps =
Salina soe aD

=o

A ot",1
7,005A2Qxrjw1ev1yzvrxe9j30fe0qoacl.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\rumor_images\005A2Qxrjw1ev1yzvrxe9j30fe0qoacl.jpg,"D soRRi Ame
att

b sm=2eHERe
ii REERB

49:42

Higa pA RIE

EAN S—HME
ABYHHE > 1 PUR ARIK
BEIT RACT

A Wii IX EH 8

CmEzA
tay. /5113 290873",1
8,005A2Qxrjw1ev1yzwxsw9j30dw0qo40r.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\rumor_images\005A2Qxrjw1ev1yzwxsw9j30dw0qo40r.jpg,"whe HUSH HAS

ER ILS ALA as
AS
wz

ABNETS AH
SAB M2 EST
AGEB+A +
— hE PAPER» =

Ali —T FRM 200A",1
9,005A2Qxrjw1ev1yzy0qddj30ja0hsgom.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\rumor_images\005A2Qxrjw1ev1yzy0qddj30ja0hsgom.jpg,"< mA #x

BRE MUA, AMGRA! KB T, RTE
? fate TARE TGR T BRP AB TB?
BS HOF BAD ER A ABI BSS?

REAM, MAIER. EAM ekmee
BR)KRALBA? BRAS ERNE LEE
#2? ORLEARAE ME TRA AIRE? WER AEE —
I ATA? TE RN eS ERAS ABA Ae BLE
BRS ADR A KH?

PUGH Raat st, BR SRARS
HR, RHSRASHCRVR, RBRUIMRICER
ESAR, AWE ARN RA, iis
SAMAR: MIVLFIT
URGE AT, RZ SRA AK
SR? ERG E AHEM S LMA T? ABET OR
README PRA ARME «

ed

ay

S33",1
