,id,file_path,text,label
0,005C9IG6gw1eyayu10dw4j30c8066ab8.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\nonrumor_images\005C9IG6gw1eyayu10dw4j30c8066ab8.jpg,no text,1
1,005CDEeVgw1extc3muqwaj30qo0jsmyk.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\nonrumor_images\005CDEeVgw1extc3muqwaj30qo0jsmyk.jpg,"us t 4 a oD WW
aia 2 tee ff 6 Oe i",1
2,005CDEeVgw1extc3ytw9nj30np0hsabw.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\nonrumor_images\005CDEeVgw1extc3ytw9nj30np0hsabw.jpg,no text,1
3,005CDEeVgw1extc5tl5m9j31kw0w011b.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\nonrumor_images\005CDEeVgw1extc5tl5m9j31kw0w011b.jpg,no text,1
4,005CDEeVjw1evu6w3np33j30f00qojro.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\nonrumor_images\005CDEeVjw1evu6w3np33j30f00qojro.jpg,"c Jeeta
weibo.com/i/5151614405",1
5,005DVeEcjw1exmegxls67j30ng0h6wge.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\nonrumor_images\005DVeEcjw1exmegxls67j30ng0h6wge.jpg,"[ pts

Bie + AAA E

= |
=H
y FALBR MAL ICREIA 5 ALS IRICMR
Be
iclickes (2A) HOSE Pepe pesA WAR
Fillo [Amr] RARE
gage 2

PBIB, AARP RHR",1
6,005EHRy1gw1euhmxmheasj30hs0qo3zc.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\nonrumor_images\005EHRy1gw1euhmxmheasj30hs0qo3zc.jpg,no text,1
7,005EHRy1gw1euhmxoyzh7j30hs0qoq3z.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\nonrumor_images\005EHRy1gw1euhmxoyzh7j30hs0qoq3z.jpg,no text,1
8,005EHRy1gw1euniq8pa8bj30c70gojth.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\nonrumor_images\005EHRy1gw1euniq8pa8bj30c70gojth.jpg,"SHU QI CHANG CHEN

ASSASSIN

A FILM
HOU HSIAO-HSIEN

ern",1
9,005EHRy1gw1euniqflhcpj30bw0go42o.jpg,D:\DATASET\Text_Image_Checkworthy_Extn\weibo\nonrumor_images\005EHRy1gw1euniqflhcpj30bw0go42o.jpg,WBE,1
